agency,fiscal_year,month,spending,calendar_month,calendar_year
Department of Homeland Security,2024,11,4031264031.4900002,8,2024
Department of Homeland Security,2024,12,8605702993.990002,9,2024
Department of Homeland Security,2025,1,14068124011.93,10,2024
Department of Homeland Security,2025,2,4587790426.200001,11,2024
Department of Homeland Security,2025,3,4924633774.48,12,2024
Department of Homeland Security,2025,4,12987749037.18,1,2025
Department of Homeland Security,2025,5,3782786826.38,2,2025
Department of Homeland Security,2025,6,2491825538.6499996,3,2025
Department of Homeland Security,2025,7,5765741783.509999,4,2025
Department of Homeland Security,2025,8,2520573977.06,5,2025
Department of Homeland Security,2025,9,1034519953.0300001,6,2025
Department of Homeland Security,2025,10,1562122830.6999998,7,2025
Department of Homeland Security,2025,11,3184627272.61,8,2025
Department of Homeland Security,2025,12,16408590963.01,9,2025
