month_day,2022,2023,2024,2025,2026
2022-01-28,473.046,483.1774971939285,474.05128000826613,437.4327003771621,444.78020315504546
2022-01-29,473.046,483.1774971939285,488.30624573293983,458.385958367951,460.6251669779661
2022-01-30,473.046,496.44597680247654,501.022131318252,476.68440473286705,561.609883994513
2022-01-31,494.681,523.9977283003795,532.1558887787459,592.0265358617512,561.609883994513
2022-02-01,580.0612755606327,617.2587435793664,623.8748095167654,592.0265358617512,561.609883994513
2022-02-02,597.4746638277682,629.247489683198,662.4083150977435,592.0265358617512,610.86959697673
2022-02-03,635.5171670193322,668.9431643755184,662.4083150977435,638.5679147332169,647.8385012032004
2022-02-04,652.2353704007031,668.9431643755184,662.4083150977435,653.8874002765275,662.6541912203018
2022-02-05,652.2353704007031,668.9431643755184,676.6650761463435,667.7874492662953,676.9245713491724
2022-02-06,652.2353704007031,683.4663150970312,690.8491496107304,683.7910219157343,692.9568546295731
2022-02-07,668.1858910439367,699.6006498192073,705.0141425842613,697.5293293804098,692.9568546295731
2022-02-08,687.9480111036908,742.8720470028198,719.4889663855007,697.5293293804098,692.9568546295731
2022-02-09,727.6381024745168,756.6285028362913,730.4838720925371,697.5293293804098,708.159093428205
2022-02-10,747.723980066784,771.0635492552663,730.4838720925371,712.3777316839705,724.1266643009834
2022-02-11,758.8578625729351,771.0635492552663,730.4838720925371,727.8306760813192,771.6134918463324
2022-02-12,758.8578625729351,771.0635492552663,742.6572252586287,770.9962189446289,785.9045799456422
2022-02-13,758.8578625729351,785.8753821595623,758.9138034678921,784.7539707456543,808.5452942924327
2022-02-14,773.7526953110721,799.936453932659,799.8341875954683,806.4953902852549,808.5452942924327
2022-02-15,841.1022070439368,894.9147666279649,873.2014007209768,806.4953902852549,808.5452942924327
2022-02-16,882.5898479050967,909.0901865383978,888.9491658407484,806.4953902852549,808.5452942924327
2022-02-17,900.7738982741653,924.6302858583515,888.9491658407484,806.4953902852549,896.9812705490747
2022-02-18,918.1793415711776,924.6302858583515,888.9491658407484,885.4287898642076,939.7975879282966
2022-02-19,918.1793415711776,924.6302858583515,888.9491658407484,926.6534344264091,961.8662445917059
2022-02-20,918.1793415711776,924.6302858583515,905.5909882463412,948.601670998095,984.9892820833079
2022-02-21,918.1793415711776,946.1914707049264,945.9080654249486,972.8151727545444,984.9892820833079
2022-02-22,957.1464406608085,1010.0221006137006,1012.727035807658,972.8151727545444,984.9892820833079
2022-02-23,998.6042878840071,1063.2474094244485,1029.776817279647,972.8151727545444,1020.613031063336
2022-02-24,1051.692578246046,1077.9833226637918,1029.776817279647,1007.3138446066212,1045.3814893727479
2022-02-25,1068.8338512864677,1077.9833226637918,1029.776817279647,1032.8822630732705,1114.4563761008978
2022-02-26,1068.8338512864677,1077.9833226637918,1044.2243832368063,1098.2717985510467,1133.9857178892078
2022-02-27,1068.8338512864677,1094.8759167556811,1061.537657201568,1115.5419045636404,1228.5607445489525
2022-02-28,1093.0302577961338,1121.1413089898824,1112.4017028494984,1224.113775740665,1228.5607445489525
2022-02-29,1093.0302577961338,1121.1413089898824,1140.4854596050384,1224.113775740665,1228.5607445489525
2022-03-01,1170.723580552987,1218.1043475702484,1251.5521001104548,1224.113775740665,
2022-03-02,1204.2173317644279,1233.239660301967,1251.5521001104548,1224.113775740665,
2022-03-03,1240.8972224670981,1273.470684544813,1251.5521001104548,1275.07971094329,
2022-03-04,1259.3039549594332,1273.470684544813,1268.5357074196802,1293.8346252169426,
2022-03-05,1259.3039549594332,1273.470684544813,1285.7119916054364,1320.900121469112,
2022-03-06,1259.3039549594332,1291.2421328933374,1308.5374170772702,1337.436465537783,
2022-03-07,1278.381505353282,1309.9693676284949,1321.6502997166594,1358.2049686195412,
2022-03-08,1298.9313193406424,1355.5587868537973,1336.743321711569,1358.2049686195412,
2022-03-09,1349.9488377538462,1372.410957796177,1336.743321711569,1358.2049686195412,
2022-03-10,1371.1940237386764,1421.3095884580596,1336.743321711569,1375.7697538346076,
2022-03-11,1384.4532355548295,1421.3095884580596,1350.0606408490612,1386.913850208734,
2022-03-12,1384.4532355548295,1421.3095884580596,1369.3925541276474,1445.5023045546227,
2022-03-13,1384.4532355548295,1439.3871505660638,1416.064682975556,1460.3864278812327,
2022-03-14,1398.8694363724214,1455.7384931863587,1431.769205292225,1483.764909611145,
2022-03-15,1421.0319633821616,1506.1939042213762,1457.0469641550208,1483.764909611145,
2022-03-16,1468.3830641872396,1520.7778377349487,1457.0469641550208,1483.764909611145,
2022-03-17,1484.9678827596515,1537.8574877096028,1457.0469641550208,1503.7709172381444,
2022-03-18,1502.6782610906791,1537.8574877096028,1472.2250172597608,1516.7430589145833,
2022-03-19,1502.6782610906791,1537.8574877096028,1487.2999475291745,1562.7313421361227,
